,Cage,Trt,Date,Date2,Hour,Behavior,n_prime,n,nadj,prop,Trt2,Behavioral.category
252,1074455,YFP,20200916,,21,Activity,0,15,15,100,Female Pairs,Activity
253,1074455,YFP,20200916,,22,Activity,0,15,15,100,Female Pairs,Activity
254,1074455,YFP,20200916,,23,Activity,0,15,15,100,Female Pairs,Activity
255,1074455,YFP,20200917,,00,Activity,0,15,15,100,Female Pairs,Activity
256,1074455,YFP,20200917,,01,Activity,0,10,10,66.66666667,Female Pairs,Activity
257,1074455,YFP,20200917,,02,Activity,0,15,15,100,Female Pairs,Activity
258,1074455,YFP,20200917,,03,Activity,0,15,15,100,Female Pairs,Activity
259,1074455,YFP,20200917,,04,Activity,0,15,15,100,Female Pairs,Activity
260,1074455,YFP,20200917,,05,Activity,0,11,11,73.33333333,Female Pairs,Activity
261,1074455,YFP,20200917,,20,Activity,0,8,8,53.33333333,Female Pairs,Activity
262,1074455,YFP,20200917,,21,Activity,0,15,15,100,Female Pairs,Activity
263,1074455,YFP,20200917,,22,Activity,0,13,13,86.66666667,Female Pairs,Activity
264,1074455,YFP,20200917,,23,Activity,0,3,3,20,Female Pairs,Activity
265,1074455,YFP,20200918,,00,Activity,0,14,14,93.33333333,Female Pairs,Activity
266,1074455,YFP,20200918,,01,Activity,0,15,15,100,Female Pairs,Activity
267,1074455,YFP,20200918,,02,Activity,0,3,3,20,Female Pairs,Activity
268,1074455,YFP,20200918,,03,Activity,0,15,15,100,Female Pairs,Activity
269,1074455,YFP,20200918,,04,Activity,0,15,15,100,Female Pairs,Activity
270,1074455,YFP,20200918,,05,Activity,0,3,3,20,Female Pairs,Activity
271,1074455,YFP,20200922,,20,Activity,0,7,7,46.66666667,Female Pairs,Activity
272,1074455,YFP,20200922,,21,Activity,0,15,15,100,Female Pairs,Activity
273,1074455,YFP,20200922,,22,Activity,0,15,15,100,Female Pairs,Activity
274,1074455,YFP,20200922,,23,Activity,0,15,15,100,Female Pairs,Activity
275,1074455,YFP,20200923,,00,Activity,0,2,2,13.33333333,Female Pairs,Activity
276,1074455,YFP,20200923,,01,Activity,0,14,14,93.33333333,Female Pairs,Activity
277,1074455,YFP,20200923,,02,Activity,0,6,6,40,Female Pairs,Activity
278,1074455,YFP,20200923,,03,Activity,0,13,13,86.66666667,Female Pairs,Activity
279,1074455,YFP,20200923,,05,Activity,0,15,15,100,Female Pairs,Activity
280,1074455,YFP,20200923,,20,Activity,0,5,5,33.33333333,Female Pairs,Activity
281,1074455,YFP,20200923,,21,Activity,0,14,14,93.33333333,Female Pairs,Activity
282,1074455,YFP,20200923,,22,Activity,0,15,15,100,Female Pairs,Activity
283,1074455,YFP,20200923,,23,Activity,0,14,14,93.33333333,Female Pairs,Activity
284,1074455,YFP,20200924,,00,Activity,0,6,6,40,Female Pairs,Activity
285,1074455,YFP,20200924,,01,Activity,0,14,14,93.33333333,Female Pairs,Activity
286,1074455,YFP,20200924,,02,Activity,0,11,11,73.33333333,Female Pairs,Activity
287,1074455,YFP,20200924,,03,Activity,0,10,10,66.66666667,Female Pairs,Activity
288,1074455,YFP,20200924,,04,Activity,0,6,6,40,Female Pairs,Activity
289,1074455,YFP,20200924,,05,Activity,0,14,14,93.33333333,Female Pairs,Activity
290,1074455,YFP,20200924,,20,Activity,0,3,3,20,Female Pairs,Activity
291,1074455,YFP,20200924,,21,Activity,0,15,15,100,Female Pairs,Activity
292,1074455,YFP,20200924,,22,Activity,0,15,15,100,Female Pairs,Activity
293,1074455,YFP,20200924,,23,Activity,0,1,1,6.666666667,Female Pairs,Activity
294,1074455,YFP,20200925,,00,Activity,0,15,15,100,Female Pairs,Activity
295,1074455,YFP,20200925,,01,Activity,0,15,15,100,Female Pairs,Activity
296,1074455,YFP,20200925,,02,Activity,0,6,6,40,Female Pairs,Activity
297,1074455,YFP,20200925,,03,Activity,0,15,15,100,Female Pairs,Activity
298,1074455,YFP,20200925,,04,Activity,0,15,15,100,Female Pairs,Activity
299,1074455,YFP,20200925,,05,Activity,0,16,15,100,Female Pairs,Activity
300,1074455,YFP,20200929,,20,Activity,0,5,5,33.33333333,Female Pairs,Activity
301,1074455,YFP,20200929,,21,Activity,0,15,15,100,Female Pairs,Activity
302,1074455,YFP,20200929,,22,Activity,0,14,14,93.33333333,Female Pairs,Activity
303,1074455,YFP,20200929,,23,Activity,0,15,15,100,Female Pairs,Activity
304,1074455,YFP,20200930,,00,Activity,0,15,15,100,Female Pairs,Activity
305,1074455,YFP,20200930,,01,Activity,0,15,15,100,Female Pairs,Activity
306,1074455,YFP,20200930,,02,Activity,0,15,15,100,Female Pairs,Activity
307,1074455,YFP,20200930,,03,Activity,0,5,5,33.33333333,Female Pairs,Activity
308,1074455,YFP,20200930,,04,Activity,0,7,7,46.66666667,Female Pairs,Activity
309,1074455,YFP,20200930,,05,Activity,0,15,15,100,Female Pairs,Activity
310,1074455,YFP,20200930,,20,Activity,0,8,8,53.33333333,Female Pairs,Activity
311,1074455,YFP,20200930,,21,Activity,0,15,15,100,Female Pairs,Activity
312,1074455,YFP,20200930,,22,Activity,0,14,14,93.33333333,Female Pairs,Activity
313,1074455,YFP,20200930,,23,Activity,0,15,15,100,Female Pairs,Activity
314,1074455,YFP,20201001,,00,Activity,0,5,5,33.33333333,Female Pairs,Activity
315,1074455,YFP,20201001,,01,Activity,0,14,14,93.33333333,Female Pairs,Activity
316,1074455,YFP,20201001,,02,Activity,0,15,15,100,Female Pairs,Activity
317,1074455,YFP,20201001,,03,Activity,0,14,14,93.33333333,Female Pairs,Activity
318,1074455,YFP,20201001,,04,Activity,0,15,15,100,Female Pairs,Activity
319,1074455,YFP,20201001,,05,Activity,0,9,9,60,Female Pairs,Activity
320,1074455,YFP,20201001,,20,Activity,0,3,3,20,Female Pairs,Activity
321,1074455,YFP,20201001,,21,Activity,0,15,15,100,Female Pairs,Activity
322,1074455,YFP,20201001,,22,Activity,0,15,15,100,Female Pairs,Activity
323,1074455,YFP,20201001,,23,Activity,0,15,15,100,Female Pairs,Activity
324,1074455,YFP,20201002,,00,Activity,0,15,15,100,Female Pairs,Activity
325,1074455,YFP,20201002,,01,Activity,0,15,15,100,Female Pairs,Activity
326,1074455,YFP,20201002,,02,Activity,0,15,15,100,Female Pairs,Activity
327,1074455,YFP,20201002,,03,Activity,0,15,15,100,Female Pairs,Activity
328,1074455,YFP,20201002,,04,Activity,0,15,15,100,Female Pairs,Activity
329,1074455,YFP,20201002,,05,Activity,0,11,11,73.33333333,Female Pairs,Activity
330,922587,YFP,20190730,1,21,Activity,0,15,15,100,Female Pairs,Activity
1055,922587,YFP,20190730,1,21,Chasing,0,1,1,6.666666667,Female Pairs,Agonistic
